open_time,open,high,low,close,volume,spread,real_volume
2018-04-26 11:00:00,109.346,109.375,109.255,109.287,1707,0,0
2018-04-26 12:00:00,109.286,109.306,109.166,109.203,1205,0,0
2018-04-26 13:00:00,109.204,109.228,109.096,109.17,2158,0,0
2018-04-26 14:00:00,109.171,109.255,109.087,109.161,5626,0,0
2018-04-26 15:00:00,109.16,109.194,109.058,109.186,3591,0,0
2018-04-26 16:00:00,109.185,109.354,109.172,109.353,4552,0,0
2018-04-26 17:00:00,109.352,109.388,109.246,109.285,2855,0,0
2018-04-26 18:00:00,109.286,109.319,109.184,109.188,1709,0,0
2018-04-26 19:00:00,109.19,109.297,109.19,109.288,1175,0,0
2018-04-26 20:00:00,109.289,109.396,109.277,109.337,1642,0,0
2018-04-26 21:00:00,109.338,109.41,109.308,109.35,1456,0,0
2018-04-26 22:00:00,109.349,109.369,109.289,109.289,1137,0,0
2018-04-26 23:00:00,109.29,109.34,109.258,109.303,2077,0,0
2018-04-27 00:00:00,109.302,109.343,109.297,109.341,1025,0,0
2018-04-27 01:00:00,109.34,109.351,109.292,109.294,570,0,0
2018-04-27 02:00:00,109.293,109.316,109.225,109.259,2064,0,0
2018-04-27 03:00:00,109.258,109.328,109.144,109.152,2114,0,0
2018-04-27 04:00:00,109.151,109.17,109.137,109.15,1033,0,0
2018-04-27 05:00:00,109.151,109.238,109.151,109.168,1493,0,0
2018-04-27 06:00:00,109.169,109.211,109.146,109.171,1214,0,0
2018-04-27 07:00:00,109.172,109.316,109.156,109.236,1758,0,0
2018-04-27 08:00:00,109.237,109.329,109.237,109.294,2326,0,0
2018-04-27 09:00:00,109.295,109.478,109.265,109.385,2771,0,0
2018-04-27 10:00:00,109.384,109.392,109.279,109.368,2686,0,0
2018-04-27 11:00:00,109.367,109.376,109.248,109.294,1934,0,0
2018-04-27 12:00:00,109.295,109.355,109.295,109.299,1499,0,0
2018-04-27 13:00:00,109.3,109.34,109.288,109.312,1271,0,0
2018-04-27 14:00:00,109.311,109.528,109.255,109.305,4448,0,0
2018-04-27 15:00:00,109.306,109.334,109.121,109.196,4378,0,0
2018-04-27 16:00:00,109.195,109.257,108.97,109.065,4755,0,0
2018-04-27 17:00:00,109.064,109.132,108.997,109.109,2483,0,0
2018-04-27 18:00:00,109.108,109.139,109.039,109.076,1876,0,0
2018-04-27 19:00:00,109.075,109.138,109.075,109.097,1472,0,0
2018-04-27 20:00:00,109.098,109.116,109.008,109.014,1221,0,0
2018-04-27 21:00:00,109.015,109.061,108.978,109.051,1535,0,0
2018-04-27 22:00:00,109.049,109.128,109.029,109.042,949,0,0
2018-04-30 00:00:00,109.052,109.153,109.052,109.136,1836,0,0
2018-04-30 01:00:00,109.135,109.18,109.085,109.085,703,0,0
2018-04-30 02:00:00,109.086,109.098,109.013,109.067,1032,0,0
2018-04-30 03:00:00,109.066,109.119,109.052,109.08,1053,0,0
2018-04-30 04:00:00,109.081,109.131,109.062,109.112,879,0,0
2018-04-30 05:00:00,109.113,109.141,109.093,109.127,701,0,0
2018-04-30 06:00:00,109.128,109.148,109.116,109.13,590,0,0
2018-04-30 07:00:00,109.129,109.158,109.121,109.134,783,0,0
2018-04-30 08:00:00,109.135,109.204,109.133,109.189,2165,0,0
2018-04-30 09:00:00,109.188,109.254,109.177,109.239,2297,0,0
2018-04-30 10:00:00,109.24,109.319,109.233,109.3,1392,0,0
2018-04-30 11:00:00,109.302,109.316,109.234,109.242,1537,0,0
2018-04-30 12:00:00,109.243,109.299,109.223,109.258,1494,0,0
2018-04-30 13:00:00,109.259,109.397,109.256,109.36,1641,0,0
2018-04-30 14:00:00,109.361,109.421,109.29,109.313,2380,0,0
2018-04-30 15:00:00,109.312,109.406,109.275,109.363,2301,0,0
2018-04-30 16:00:00,109.362,109.443,109.29,109.418,3270,0,0
2018-04-30 17:00:00,109.419,109.432,109.238,109.276,2722,0,0
2018-04-30 18:00:00,109.277,109.299,109.078,109.114,2470,0,0
2018-04-30 19:00:00,109.112,109.266,109.097,109.234,2420,0,0
2018-04-30 20:00:00,109.233,109.29,109.155,109.283,2077,0,0
2018-04-30 21:00:00,109.285,109.36,109.263,109.312,1486,0,0
2018-04-30 22:00:00,109.311,109.335,109.276,109.33,997,0,0
2018-04-30 23:00:00,109.331,109.336,109.231,109.257,1522,0,0
2018-05-01 00:00:00,109.259,109.278,109.233,109.262,1747,0,0
2018-05-01 01:00:00,109.261,109.326,109.242,109.306,1106,0,0
2018-05-01 02:00:00,109.305,109.331,109.248,109.288,1707,0,0
2018-05-01 03:00:00,109.287,109.355,109.284,109.322,1367,0,0
2018-05-01 04:00:00,109.323,109.354,109.298,109.349,738,0,0
2018-05-01 05:00:00,109.35,109.379,109.339,109.352,844,0,0
2018-05-01 06:00:00,109.351,109.378,109.339,109.371,668,0,0
2018-05-01 07:00:00,109.372,109.394,109.361,109.38,955,0,0
2018-05-01 08:00:00,109.381,109.448,109.365,109.417,1241,0,0
2018-05-01 09:00:00,109.418,109.472,109.398,109.467,1078,0,0
2018-05-01 10:00:00,109.466,109.573,109.445,109.562,1608,0,0
2018-05-01 11:00:00,109.561,109.645,109.55,109.624,1819,0,0
2018-05-01 12:00:00,109.623,109.693,109.612,109.635,1259,0,0
2018-05-01 13:00:00,109.636,109.681,109.608,109.627,1342,0,0
2018-05-01 14:00:00,109.626,109.674,109.566,109.673,1825,0,0
2018-05-01 15:00:00,109.674,109.73,109.599,109.72,2816,0,0
2018-05-01 16:00:00,109.713,109.786,109.58,109.74,4292,0,0
2018-05-01 17:00:00,109.739,109.742,109.633,109.676,2817,0,0
2018-05-01 18:00:00,109.677,109.713,109.556,109.576,2418,0,0
2018-05-01 19:00:00,109.577,109.701,109.506,109.696,1959,0,0
2018-05-01 20:00:00,109.697,109.792,109.69,109.786,1790,0,0
2018-05-01 21:00:00,109.787,109.88,109.748,109.873,1772,0,0
2018-05-01 22:00:00,109.872,109.878,109.794,109.855,911,0,0
2018-05-01 23:00:00,109.854,109.865,109.834,109.835,1052,0,0
2018-05-02 00:00:00,109.836,109.901,109.821,109.9,658,0,0
2018-05-02 01:00:00,109.899,109.909,109.849,109.863,732,0,0
2018-05-02 02:00:00,109.862,109.865,109.686,109.797,2619,0,0
2018-05-02 03:00:00,109.798,109.831,109.66,109.67,2055,0,0
